County,median income
Baldwin County,76892
Calhoun County,61918
Cullman County,60886
DeKalb County,54871
Elmore County,76574
Etowah County,53690
Houston County,62034
Jefferson County,70617
Lauderdale County,65564
Lee County,80982
Limestone County,76124
Madison County,84935
Marshall County,58967
Mobile County,61182
Montgomery County,67719
Morgan County,62540
St. Clair County,77256
Shelby County,98094
Talladega County,65280
Tuscaloosa County,70367
Walker County,59855
Anchorage Municipality,104660
Fairbanks North Star Borough,87974
Matanuska-Susitna Borough,85283
Apache County,41162
Cochise County,57991
Coconino County,76601
Maricopa County,80792
Mohave County,56751
Navajo County,45764
Pima County,72920
Pinal County,70976
Yavapai County,68513
Yuma County,51480
Benton County,81726
Craighead County,63994
Faulkner County,70514
Garland County,54414
Jefferson County,51052
Lonoke County,75967
Pulaski County,67765
Saline County,78096
Sebastian County,56569
Washington County,67310
White County,54744
Alameda County,130556
Butte County,76497
Contra Costa County,125976
El Dorado County,107034
Fresno County,65568
Humboldt County,71718
Imperial County,57467
Kern County,61124
Kings County,61133
Lake County,62253
Los Angeles County,81912
Madera County,67877
Marin County,151376
Mendocino County,64485
Merced County,65725
Monterey County,81037
Napa County,107419
Nevada County,88540
Orange County,107171
Placer County,118132
Riverside County,81921
Sacramento County,82121
San Bernardino County,74969
San Diego County,96164
San Francisco County,140707
San Joaquin County,76424
San Luis Obispo County,98277
San Mateo County,158898
Santa Barbara County,90020
Santa Clara County,151620
Santa Cruz County,107298
Shasta County,80765
Solano County,97754
Sonoma County,101449
Stanislaus County,71339
Sutter County,73964
Tehama County,71428
Tulare County,60190
Ventura County,103818
Yolo County,95890
Yuba County,65843
Adams County,85129
Arapahoe County,101925
Boulder County,112791
Broomfield County,136125
Denver County,98247
Douglas County,137073
El Paso County,86411
Jefferson County,111123
Larimer County,100135
Mesa County,75143
Pueblo County,61720
Weld County,92214
Fairfield County,122271
Hartford County,98558
Litchfield County,101334
Middlesex County,105242
New Haven County,89234
New London County,95350
Tolland County,115453
Windham County,80815
Kent County,69439
New Castle County,95536
Sussex County,82694
District of Columbia,130291
Alachua County,80588
Bay County,70253
Brevard County,74025
Broward County,73848
Charlotte County,68349
Citrus County,61680
Clay County,85175
Collier County,88736
Columbia County,58953
Duval County,69956
Escambia County,66018
Flagler County,67146
Hernando County,60506
Highlands County,57168
Hillsborough County,74380
Indian River County,71865
Lake County,70212
Lee County,74882
Leon County,76565
Manatee County,79352
Marion County,58615
Martin County,87659
Miami-Dade County,61413
Monroe County,90367
Nassau County,77896
Okaloosa County,81517
Orange County,72065
Osceola County,57308
Palm Beach County,81212
Pasco County,69590
Pinellas County,79797
Polk County,60761
Putnam County,49177
St. Johns County,106096
St. Lucie County,70255
Santa Rosa County,81619
Sarasota County,82469
Seminole County,81857
Sumter County,74976
Volusia County,65904
Walton County,76703
Barrow County,76055
Bartow County,68139
Bibb County,55526
Bulloch County,62194
Carroll County,70575
Catoosa County,67945
Chatham County,71935
Cherokee County,99250
Clarke County,66725
Clayton County,54658
Cobb County,97396
Columbia County,95776
Coweta County,93872
DeKalb County,85420
Dougherty County,46232
Douglas County,78746
Fayette County,108553
Floyd County,63562
Forsyth County,125028
Fulton County,109818
Glynn County,68104
Gwinnett County,80954
Hall County,78870
Henry County,81290
Houston County,75512
Jackson County,81255
Lowndes County,57050
Muscogee County,60420
Newton County,61017
Paulding County,85763
Richmond County,52580
Rockdale County,66640
Spalding County,59654
Troup County,62837
Walker County,61720
Walton County,77198
Whitfield County,60429
Hawaii County,82400
Honolulu County,101922
Kauai County,96284
Maui County,90983
Ada County,88299
Bannock County,65688
Bonneville County,72463
Canyon County,66387
Kootenai County,73909
Twin Falls County,67233
Adams County,73917
Champaign County,82467
Cook County,86915
DeKalb County,87104
DuPage County,118053
Kane County,99224
Kankakee County,76663
Kendall County,121597
Lake County,112189
LaSalle County,75108
McHenry County,102325
McLean County,97607
Macon County,75694
Madison County,83190
Peoria County,77209
Rock Island County,74780
St. Clair County,77640
Sangamon County,85077
Tazewell County,81868
Vermilion County,56233
Will County,103382
Williamson County,71472
Winnebago County,70619
Allen County,70249
Bartholomew County,85504
Boone County,88914
Clark County,67694
Delaware County,62160
Elkhart County,75244
Floyd County,84369
Grant County,65468
Hamilton County,125903
Hancock County,98705
Hendricks County,96409
Howard County,65189
Johnson County,89426
Kosciusko County,72084
Lake County,72199
LaPorte County,71066
Madison County,67712
Marion County,67242
Monroe County,82201
Morgan County,75094
Porter County,86168
St. Joseph County,70149
Tippecanoe County,71821
Vanderburgh County,67232
Vigo County,62877
Wayne County,58052
Black Hawk County,80514
Dallas County,110124
Dubuque County,78750
Johnson County,98099
Linn County,80428
Polk County,81970
Pottawattamie County,68783
Scott County,84554
Story County,99913
Woodbury County,72779
Butler County,82115
Douglas County,89158
Johnson County,111665
Leavenworth County,93439
Riley County,73201
Sedgwick County,78281
Shawnee County,76777
Wyandotte County,56042
Boone County,93245
Bullitt County,75052
Campbell County,91685
Christian County,52828
Daviess County,66568
Fayette County,82055
Hardin County,71610
Jefferson County,75337
Kenton County,90817
McCracken County,64567
Madison County,68429
Oldham County,108185
Warren County,67747
Ascension Parish,94502
Bossier Parish,61595
Caddo Parish,58115
Calcasieu Parish,67045
East Baton Rouge Parish,74520
Iberia Parish,53940
Jefferson Parish,68907
Lafayette Parish,78586
Lafourche Parish,61723
Livingston Parish,80178
Orleans Parish,67322
Ouachita Parish,53414
Rapides Parish,57444
St. Landry Parish,46231
St. Tammany Parish,83092
Tangipahoa Parish,62684
Terrebonne Parish,63587
Androscoggin County,75183
Aroostook County,57503
Cumberland County,101075
Kennebec County,76956
Penobscot County,73899
York County,85168
Allegany County,63327
Anne Arundel County,116535
Baltimore County,96502
Calvert County,124633
Carroll County,123231
Cecil County,91368
Charles County,114652
Frederick County,116728
Harford County,109733
Howard County,148680
Montgomery County,135141
Prince George's County,100654
St. Mary's County,102798
Washington County,76075
Wicomico County,73356
Baltimore city,65518
Barnstable County,104007
Berkshire County,78546
Bristol County,90077
Essex County,103994
Franklin County,82932
Hampden County,75745
Hampshire County,99354
Middlesex County,136187
Norfolk County,132217
Plymouth County,107594
Suffolk County,92491
Worcester County,100652
Allegan County,75200
Bay County,67327
Berrien County,66322
Calhoun County,66013
Clinton County,91372
Eaton County,83121
Genesee County,64374
Grand Traverse County,79611
Ingham County,74319
Isabella County,62795
Jackson County,75845
Kalamazoo County,77904
Kent County,80671
Lapeer County,78430
Lenawee County,63438
Livingston County,102339
Macomb County,79318
Marquette County,70511
Midland County,84768
Monroe County,77207
Muskegon County,63502
Oakland County,106556
Ottawa County,84638
Saginaw County,61301
St. Clair County,76262
Shiawassee County,67834
Van Buren County,72411
Washtenaw County,105960
Wayne County,65526
Anoka County,99071
Blue Earth County,83908
Carver County,117452
Crow Wing County,73398
Dakota County,109606
Hennepin County,110666
Olmsted County,101732
Ramsey County,90653
Rice County,90504
St. Louis County,81808
Scott County,125610
Sherburne County,109993
Stearns County,80251
Washington County,117505
Wright County,112789
DeSoto County,75239
Forrest County,48439
Harrison County,60685
Hinds County,54985
Jackson County,70273
Jones County,51262
Lauderdale County,50186
Lee County,58511
Madison County,89325
Rankin County,77155
Boone County,79184
Buchanan County,59975
Cape Girardeau County,73110
Cass County,85345
Christian County,71477
Clay County,86181
Cole County,76697
Franklin County,75647
Greene County,61831
Jackson County,75666
Jasper County,54013
Jefferson County,80184
Platte County,103254
St. Charles County,104321
St. Francois County,52529
St. Louis County,94569
St. Louis city,65317
Cascade County,65397
Flathead County,72205
Gallatin County,94184
Lewis and Clark County,92122
Missoula County,72141
Yellowstone County,76959
Douglas County,84843
Lancaster County,81522
Sarpy County,98846
Clark County,73527
Washoe County,86724
Cheshire County,80149
Grafton County,81439
Hillsborough County,102960
Merrimack County,95135
Rockingham County,117014
Strafford County,94455
Atlantic County,75722
Bergen County,131230
Burlington County,106539
Camden County,92232
Cape May County,90719
Cumberland County,65022
Essex County,81147
Gloucester County,107579
Hudson County,84407
Hunterdon County,146511
Mercer County,107209
Middlesex County,115220
Monmouth County,129380
Morris County,146040
Ocean County,95783
Passaic County,87135
Salem County,81122
Somerset County,135129
Sussex County,116343
Union County,94087
Warren County,106434
Bernalillo County,68003
Chaves County,49955
Doña Ana County,51114
Lea County,78086
McKinley County,42213
Otero County,46804
Sandoval County,79432
San Juan County,48713
Santa Fe County,72542
Valencia County,60480
Albany County,98162
Bronx County,50835
Broome County,67649
Cattaraugus County,62243
Cayuga County,75578
Chautauqua County,69181
Chemung County,70078
Clinton County,78004
Dutchess County,107176
Erie County,79188
Jefferson County,65378
Kings County,74422
Livingston County,75126
Madison County,82327
Monroe County,84034
Nassau County,140640
New York County,126690
Niagara County,77774
Oneida County,74515
Onondaga County,84681
Ontario County,84200
Orange County,100230
Oswego County,71749
Putnam County,121505
Queens County,82534
Rensselaer County,85996
Richmond County,105438
Rockland County,116404
St. Lawrence County,65685
Saratoga County,111280
Schenectady County,85160
Steuben County,71759
Suffolk County,125309
Sullivan County,68127
Tompkins County,90192
Ulster County,86335
Warren County,90063
Wayne County,81192
Westchester County,131023
Alamance County,70332
Brunswick County,77959
Buncombe County,69181
Burke County,60227
Cabarrus County,85805
Caldwell County,61547
Carteret County,76840
Catawba County,66741
Chatham County,82689
Cleveland County,53571
Craven County,67467
Cumberland County,55078
Davidson County,64056
Durham County,81056
Forsyth County,70148
Franklin County,63804
Gaston County,70537
Guilford County,69273
Harnett County,66600
Henderson County,73823
Iredell County,81610
Johnston County,76439
Lincoln County,80649
Mecklenburg County,86834
Moore County,78517
Nash County,58908
New Hanover County,81497
Onslow County,54021
Orange County,118498
Pitt County,64962
Randolph County,58172
Robeson County,43698
Rockingham County,49962
Rowan County,62894
Rutherford County,50846
Surry County,66882
Union County,100737
Wake County,104821
Wayne County,53190
Wilkes County,60153
Wilson County,65768
Burleigh County,95152
Cass County,94182
Grand Forks County,81451
Ward County,92439
Allen County,69534
Ashtabula County,58802
Athens County,66601
Belmont County,60823
Butler County,85417
Clark County,62358
Clermont County,91940
Columbiana County,67973
Cuyahoga County,70517
Delaware County,129811
Erie County,75004
Fairfield County,85139
Franklin County,82042
Geauga County,97233
Greene County,89205
Hamilton County,82274
Hancock County,80560
Jefferson County,59820
Lake County,81149
Licking County,79737
Lorain County,77160
Lucas County,65250
Mahoning County,61545
Marion County,61916
Medina County,95589
Miami County,81582
Montgomery County,71636
Muskingum County,65352
Portage County,75019
Richland County,63585
Ross County,68173
Scioto County,60373
Stark County,68688
Summit County,73428
Trumbull County,56455
Tuscarawas County,64420
Warren County,109570
Wayne County,72339
Wood County,82348
Canadian County,85180
Cleveland County,83305
Comanche County,60433
Creek County,66194
Muskogee County,53239
Oklahoma County,71408
Payne County,58928
Pottawatomie County,67204
Rogers County,77005
Tulsa County,74319
Wagoner County,79402
Benton County,100075
Clackamas County,97635
Deschutes County,87855
Douglas County,54865
Jackson County,73249
Josephine County,54646
Klamath County,62361
Lane County,75523
Linn County,76343
Marion County,74731
Multnomah County,93528
Polk County,99494
Umatilla County,75064
Washington County,104149
Yamhill County,82426
Adams County,81210
Allegheny County,90891
Armstrong County,68733
Beaver County,79450
Berks County,81575
Blair County,65157
Bucks County,112006
Butler County,96134
Cambria County,66461
Carbon County,72639
Centre County,87538
Chester County,129511
Clearfield County,60907
Columbia County,66546
Crawford County,62100
Cumberland County,93456
Dauphin County,77445
Delaware County,101865
Erie County,67505
Fayette County,64528
Franklin County,77162
Indiana County,71780
Lackawanna County,67313
Lancaster County,81132
Lawrence County,65807
Lebanon County,76965
Lehigh County,77262
Luzerne County,65644
Lycoming County,70079
Mercer County,70402
Monroe County,77039
Montgomery County,115533
Northampton County,87976
Northumberland County,59477
Philadelphia County,54978
Schuylkill County,67787
Somerset County,63990
Washington County,85110
Westmoreland County,79124
York County,83957
Kent County,91393
Newport County,108973
Providence County,79424
Washington County,114594
Aiken County,66933
Anderson County,65967
Beaufort County,86025
Berkeley County,80850
Charleston County,93458
Darlington County,53553
Dorchester County,86214
Florence County,59728
Greenville County,80413
Greenwood County,51255
Horry County,65295
Kershaw County,77578
Lancaster County,69544
Laurens County,60308
Lexington County,76099
Oconee County,63826
Orangeburg County,44648
Pickens County,66441
Richland County,73382
Spartanburg County,67229
Sumter County,56647
York County,91977
Minnehaha County,79453
Pennington County,81243
Anderson County,66652
Blount County,74823
Bradley County,66274
Davidson County,81530
Greene County,55313
Hamilton County,75588
Knox County,78927
Madison County,57064
Maury County,78559
Montgomery County,66287
Putnam County,65738
Robertson County,73556
Rutherford County,80849
Sevier County,66120
Shelby County,68081
Sullivan County,64436
Sumner County,83948
Washington County,73200
Williamson County,129348
Wilson County,95145
Angelina County,57506
Bastrop County,59904
Bell County,66985
Bexar County,70190
Bowie County,59657
Brazoria County,96233
Brazos County,74908
Cameron County,48112
Collin County,113199
Comal County,110442
Coryell County,60546
Dallas County,70357
Denton County,112068
Ector County,83388
Ellis County,88883
El Paso County,53561
Fort Bend County,113249
Galveston County,90678
Grayson County,70323
Gregg County,62823
Guadalupe County,93930
Harris County,72524
Harrison County,76320
Hays County,89719
Henderson County,58259
Hidalgo County,46822
Hunt County,64492
Jefferson County,69566
Johnson County,77373
Kaufman County,83988
Liberty County,62734
Lubbock County,72708
McLennan County,66709
Midland County,107275
Montgomery County,102475
Nacogdoches County,57864
Nueces County,73295
Orange County,93461
Parker County,90717
Potter County,47625
Randall County,87006
Rockwall County,111362
San Patricio County,67832
Smith County,73944
Tarrant County,83250
Taylor County,69205
Tom Green County,78363
Travis County,102643
Victoria County,67507
Walker County,68931
Webb County,59386
Wichita County,70594
Williamson County,104845
Wise County,85918
Cache County,70462
Davis County,95110
Salt Lake County,92155
Tooele County,87164
Utah County,86636
Washington County,75507
Weber County,81780
Chittenden County,105652
Albemarle County,123986
Arlington County,160454
Augusta County,75564
Bedford County,80990
Chesterfield County,101103
Fairfax County,151028
Fauquier County,121366
Frederick County,92983
Hanover County,104036
Henrico County,91956
James City County,107296
Loudoun County,169887
Montgomery County,84051
Prince William County,115167
Roanoke County,92332
Rockingham County,76024
Spotsylvania County,104679
Stafford County,120298
York County,113085
Alexandria city,138441
Chesapeake city,92842
Hampton city,73543
Lynchburg city,65277
Newport News city,61919
Norfolk city,64816
Portsmouth city,60820
Richmond city,72135
Roanoke city,59962
Suffolk city,89753
Virginia Beach city,91608
Benton County,85169
Chelan County,69276
Clallam County,66844
Clark County,91548
Cowlitz County,67588
Franklin County,65709
Grant County,61094
Grays Harbor County,74645
Island County,80315
King County,128694
Kitsap County,92222
Lewis County,71240
Mason County,69411
Pierce County,91617
Skagit County,77430
Snohomish County,105259
Spokane County,75643
Thurston County,93142
Whatcom County,87522
Yakima County,65021
Berkeley County,64770
Cabell County,58485
Harrison County,72473
Kanawha County,60068
Monongalia County,94688
Raleigh County,62103
Wood County,61314
Brown County,82885
Dane County,106754
Dodge County,72360
Eau Claire County,85304
Fond du Lac County,87451
Jefferson County,87012
Kenosha County,80515
La Crosse County,81513
Manitowoc County,77850
Marathon County,78790
Milwaukee County,67929
Outagamie County,83087
Ozaukee County,101383
Portage County,81331
Racine County,80496
Rock County,73079
St. Croix County,100684
Sheboygan County,76098
Walworth County,83220
Washington County,95408
Waukesha County,113591
Winnebago County,76425
Wood County,68511
Laramie County,86805
Natrona County,76487
Arecibo Municipio,24080
Bayamón Municipio,32636
Caguas Municipio,31396
Carolina Municipio,32406
Guaynabo Municipio,46167
Mayagüez Municipio,20938
Ponce Municipio,18823
San Juan Municipio,29661
Toa Alta Municipio,36422
Toa Baja Municipio,26195
Trujillo Alto Municipio,40857
